1473846782|--cpu:1308620,1135943,118904,244,37557,598954675,2214,0,0,2|--mem:2036728,0,193236,824544,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31614,1788810,77884944,84930146,5531,31,120,35033|--udp:144,329,39,0|--traffic:8204560569,11489223562,78526664,82774555,0,0|--io:sda=30587,17516,1666348,215169,2080218,991438,24587540,5614247,2563987,5859048,0;|--pcsw:1554476719,135148|--partition:/=1024,34395296,43145416,32203580,2665522,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,15864,1820424,0,13,0,0,0|--load:213,322,157,0,632
1473846841|--cpu:1308681,1136064,118905,244,37561,598966228,2214,0,0,2|--mem:2052132,0,193236,824880,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31615,1788847,77944639,84930641,5531,31,122,35033|--udp:144,329,39,0|--traffic:8208993112,11489267026,78586349,82775012,0,0|--io:sda=30587,17516,1666348,215169,2080281,991487,24588436,5614589,2564056,5859390,0;|--pcsw:1554515511,135196|--partition:/=1024,34395268,43145416,32203552,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16377,1820462,0,13,0,0,0|--load:78,263,147,0,448
1473846901|--cpu:1308720,1136104,118906,244,37562,598978117,2214,0,0,2|--mem:2052396,0,193236,824880,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31615,1788878,77949597,84931124,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209363743,11489298208,78591292,82775447,0,0|--io:sda=30587,17516,1666348,215169,2080347,991518,24589212,5614696,2564092,5859497,0;|--pcsw:1554553957,135205|--partition:/=1024,34395284,43145416,32203568,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16714,1820493,0,13,0,0,0|--load:29,215,138,0,448
1473846961|--cpu:1308757,1136135,118908,244,37563,598990013,2214,0,0,2|--mem:2052620,0,193236,824880,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31616,1788907,77949824,84931346,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209378844,11489311812,78591499,82775623,0,0|--io:sda=30587,17516,1666348,215169,2080394,991538,24589748,5614770,2564122,5859571,0;|--pcsw:1554591860,135214|--partition:/=1024,34395284,43145416,32203568,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820523,0,13,0,0,0|--load:10,175,129,0,448
1473847021|--cpu:1308794,1136167,118909,244,37564,599001910,2214,0,0,2|--mem:2052364,0,193236,824884,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31616,1788940,77950061,84931589,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209401130,11489327397,78591765,82775821,0,0|--io:sda=30587,17516,1666348,215169,2080455,991560,24590412,5614868,2564160,5859669,0;|--pcsw:1554629306,135223|--partition:/=1024,34395280,43145416,32203564,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820556,0,13,0,0,0|--load:4,143,120,0,448
1473847081|--cpu:1308830,1136197,118911,244,37564,599013811,2214,0,0,2|--mem:2052612,0,193236,824884,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31617,1788971,77950292,84931825,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209423593,11489342624,78592031,82776014,0,0|--io:sda=30587,17516,1666348,215169,2080505,991581,24590980,5614947,2564194,5859748,0;|--pcsw:1554665987,135232|--partition:/=1024,34395280,43145416,32203564,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820588,0,13,0,0,0|--load:1,117,113,0,448
1473847141|--cpu:1308867,1136226,118912,244,37565,599025708,2214,0,0,2|--mem:2052728,0,193236,824884,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31617,1789004,77950527,84932061,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209438892,11489356938,78592246,82776200,0,0|--io:sda=30587,17516,1666348,215169,2080550,991599,24591484,5615069,2564237,5859870,0;|--pcsw:1554703807,135241|--partition:/=1024,34395280,43145416,32203564,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820621,0,13,0,0,0|--load:0,95,105,0,448
1473847201|--cpu:1308905,1136257,118913,244,37565,599037611,2214,0,0,2|--mem:2052860,0,193236,824888,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31618,1789035,77950750,84932285,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209453716,11489370993,78592455,82776382,0,0|--io:sda=30587,17516,1666348,215169,2080606,991622,24592116,5615152,2564272,5859953,0;|--pcsw:1554740173,135250|--partition:/=1024,34395276,43145416,32203560,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820653,0,13,0,0,0|--load:4,79,99,0,448
1473847261|--cpu:1308946,1136292,118915,244,37565,599049506,2214,0,0,2|--mem:2052184,0,193236,824892,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31618,1789066,77950977,84932513,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209468595,11489384741,78592665,82776560,0,0|--io:sda=30587,17516,1666348,215169,2080650,991645,24592652,5615246,2564314,5860047,0;|--pcsw:1554776360,135271|--partition:/=1024,34395272,43145416,32203556,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820684,0,13,0,0,0|--load:1,65,92,0,448
1473847321|--cpu:1308983,1136323,118916,244,37566,599061209,2214,0,0,2|--mem:2052604,0,193236,824896,8061624,0|--swap:0,0,8589926400,8589926400|--tcp:31619,1789095,77951200,84932741,5531,31,21,35033|--udp:144,329,39,0|--traffic:8209484968,11489399249,78592867,82776743,0,0|--io:sda=30587,17516,1666348,215169,2080710,991668,24593316,5615340,2564353,5860141,0;|--pcsw:1554811434,135280|--partition:/=1024,34395268,43145416,32203552,2665521,2744320;/boot=1024,171513,198337,161273,51162,51200;|--tcpx:0,0,0,0,0,0,0,0,16721,1820714,0,13,0,0,0|--load:0,53,86,0,448
